更新时间: 2026-05-01 16:35:43（北京时间）

更新时间,#genre#
2026-05-01 16:35:43,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV6,http://113.120.108.132:4000/rtp/239.21.2.47:5002$山东电信
CCTV6,http://221.232.40.13:8888/rtp/239.69.1.124:10382$湖北电信
CCTV7,http://58.62.234.243:10000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://113.120.108.132:4000/rtp/239.21.1.152:5002$山东电信
CCTV7,http://221.232.40.13:8888/rtp/239.69.1.103:10256$湖北电信
CCTV8,http://58.62.234.243:10000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://113.120.108.132:4000/rtp/239.21.2.48:5002$山东电信
CCTV8,http://221.232.40.13:8888/rtp/239.69.1.125:10388$湖北电信
CCTV9,http://58.62.234.243:10000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://113.120.108.132:4000/rtp/239.21.1.153:5002$山东电信
CCTV9,http://221.232.40.13:8888/rtp/239.69.1.104:10262$湖北电信
CCTV10,http://58.62.234.243:10000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://113.120.108.132:4000/rtp/239.21.1.155:5002$山东电信
CCTV10,http://221.232.40.13:8888/rtp/239.69.1.105:10268$湖北电信
CCTV11,http://58.62.234.243:10000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://113.120.108.132:4000/rtp/239.21.2.2:5002$山东电信
CCTV11,http://221.232.40.13:8888/rtp/239.69.1.154:10560$湖北电信
CCTV12,http://58.62.234.243:10000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://113.120.108.132:4000/rtp/239.21.1.156:5002$山东电信
CCTV12,http://221.232.40.13:8888/rtp/239.69.1.106:10274$湖北电信
CCTV13,http://58.62.234.243:10000/rtp/239.253.43.196:5146$广东电信
CCTV13,http://113.120.108.132:4000/rtp/239.21.2.3:5002$山东电信
CCTV13,http://221.232.40.13:8888/rtp/239.254.96.161:9040$湖北电信
CCTV14,http://58.62.234.243:10000/rtp/239.77.0.133:5146$广东电信
CCTV14,http://113.120.108.132:4000/rtp/239.21.1.157:5002$山东电信
CCTV14,http://221.232.40.13:8888/rtp/239.69.1.107:10280$湖北电信
CCTV15,http://58.62.234.243:10000/rtp/239.77.1.239:5146$广东电信
CCTV15,http://113.120.108.132:4000/rtp/239.21.2.4:5002$山东电信
CCTV15,http://221.232.40.13:8888/rtp/239.69.1.155:10566$湖北电信
